Network, Player, Game ID, Stake, Date, Entrants, Rake, Game, Structure, Speed, Result, Position, Flags, Currency
PokerStars,"Borbas.Geri",2785898614,3.16,2020-01-18 21:57,18,0.34,H,No Limit,Turbo,-3.16,7,,USD
PokerStars,"Borbas.Geri",2785844664,3.19,2020-01-18 20:06,45,0.31,H,No Limit,Turbo,14.75,4,,USD
PokerStars,"Borbas.Geri",2785786030,3.19,2020-01-18 17:53,45,0.31,H,No Limit,Turbo,-3.19,32,,USD
PokerStars,"Borbas.Geri",2785380948,3.16,2020-01-18 08:32,18,0.34,H,No Limit,Turbo,13.9,2,,USD
PokerStars,"Borbas.Geri",2785094826,3.16,2020-01-17 21:28,18,0.34,H,No Limit,Turbo,-3.16,7,,USD
PokerStars,"Borbas.Geri",2785087161,3.16,2020-01-17 21:20,18,0.34,H,No Limit,Turbo,-3.16,15,,USD
PokerStars,"Borbas.Geri",2784329813,3.19,2020-01-17 00:14,45,0.31,H,No Limit,Turbo,-3.19,25,,USD
PokerStars,"Borbas.Geri",2783455851,3.19,2020-01-15 18:14,45,0.31,H,No Limit,Turbo,-3.19,15,,USD
PokerStars,"Borbas.Geri",2783430466,3.19,2020-01-15 17:18,45,0.31,H,No Limit,Turbo,-3.19,22,,USD
PokerStars,"Borbas.Geri",2783086002,3.16,2020-01-15 09:18,18,0.34,H,No Limit,Turbo,-3.16,14,,USD
PokerStars,"Borbas.Geri",2783071560,3.16,2020-01-15 09:02,18,0.34,H,No Limit,Turbo,-3.16,12,,USD
PokerStars,"Borbas.Geri",2782356182,3.19,2020-01-14 09:22,45,0.31,H,No Limit,Turbo,5.42,6,,USD
PokerStars,"Borbas.Geri",2782336248,3.19,2020-01-14 08:48,45,0.31,H,No Limit,Turbo,-3.19,20,,USD
PokerStars,"Borbas.Geri",2782126570,3.19,2020-01-14 01:14,45,0.31,H,No Limit,Turbo,-3.19,19,,USD
PokerStars,"Borbas.Geri",2782111167,3.19,2020-01-14 00:30,45,0.31,H,No Limit,Turbo,-3.19,25,,USD
PokerStars,"Borbas.Geri",2782087242,3.19,2020-01-13 23:32,45,0.31,H,No Limit,Turbo,-3.19,40,,USD
PokerStars,"Borbas.Geri",2781599527,3.19,2020-01-13 09:22,45,0.31,H,No Limit,Turbo,5.42,6,,USD
PokerStars,"Borbas.Geri",2781333865,3.19,2020-01-12 22:17,45,0.31,H,No Limit,Turbo,-3.19,18,,USD
PokerStars,"Borbas.Geri",2781292444,3.19,2020-01-12 19:41,45,0.31,H,No Limit,Turbo,-3.19,32,,USD
PokerStars,"Borbas.Geri",2781279519,3.19,2020-01-12 19:17,45,0.31,H,No Limit,Turbo,-3.19,26,,USD
PokerStars,"Borbas.Geri",2781254438,3.19,2020-01-12 18:19,45,0.31,H,No Limit,Turbo,-3.19,21,,USD
PokerStars,"Borbas.Geri",2780879398,3.19,2020-01-12 09:57,45,0.31,H,No Limit,Turbo,-3.19,22,,USD
PokerStars,"Borbas.Geri",2780865570,3.19,2020-01-12 09:42,45,0.31,H,No Limit,Turbo,-3.19,36,,USD
PokerStars,"Borbas.Geri",2780516965,3.19,2020-01-11 20:38,45,0.31,H,No Limit,Turbo,14.75,4,,USD
PokerStars,"Borbas.Geri",2780509363,3.19,2020-01-11 20:19,45,0.31,H,No Limit,Turbo,-3.19,41,,USD
PokerStars,"Borbas.Geri",2780489673,3.19,2020-01-11 19:30,45,0.31,H,No Limit,Turbo,-3.19,14,,USD
PokerStars,"Borbas.Geri",2780062776,3.19,2020-01-11 09:41,45,0.31,H,No Limit,Turbo,14.75,4,,USD
PokerStars,"Borbas.Geri",2779703376,3.19,2020-01-10 20:14,45,0.31,H,No Limit,Turbo,27.67,2,,USD
PokerStars,"Borbas.Geri",2779265701,3.19,2020-01-10 09:43,45,0.31,H,No Limit,Turbo,-3.19,8,,USD
PokerStars,"Borbas.Geri",2779239122,3.19,2020-01-10 09:17,45,0.31,H,No Limit,Turbo,-3.19,32,,USD
PokerStars,"Borbas.Geri",2778898912,3.19,2020-01-09 19:18,45,0.31,H,No Limit,Turbo,14.75,4,,USD
PokerStars,"Borbas.Geri",2778868302,3.19,2020-01-09 17:54,45,0.31,H,No Limit,Turbo,-3.19,10,,USD
PokerStars,"Borbas.Geri",2778831096,3.19,2020-01-09 17:03,45,0.31,H,No Limit,Turbo,-3.19,14,,USD
PokerStars,"Borbas.Geri",2778810643,3.19,2020-01-09 16:28,45,0.31,H,No Limit,Turbo,-3.19,25,,USD
PokerStars,"Borbas.Geri",2778469005,6.45,2020-01-09 08:31,18,0.55,H,No Limit,Turbo,-6.45,5,,USD
PokerStars,"Borbas.Geri",2778439614,6.45,2020-01-09 07:53,18,0.55,H,No Limit,Turbo,-6.45,16,,USD
PokerStars,"Borbas.Geri",2778444377,6.45,2020-01-09 07:52,18,0.55,H,No Limit,Turbo,-6.45,10,,USD
PokerStars,"Borbas.Geri",2778433841,6.45,2020-01-09 07:26,18,0.55,H,No Limit,Turbo,-6.45,17,,USD
PokerStars,"Borbas.Geri",2778168493,3.19,2020-01-08 19:48,45,0.31,H,No Limit,Turbo,1.83,7,,USD
